Date,Mid_Rate,Inflation,Interest Rates
8-Apr-24,13.5616,1,32.52
9-Apr-24,13.5348,1,32.52
10-Apr-24,13.5012,1,32.52
11-Apr-24,13.4542,1,32.52
23-Apr-24,13.2536,1,32.52
24-Apr-24,13.2517,1,32.52
25-Apr-24,13.3811,1,32.52
26-Apr-24,13.4218,1,32.52
6-May-24,13.6757,-2.4,32.65
7-May-24,13.6689,-2.4,32.65
8-May-24,13.6653,-2.4,32.65
9-May-24,13.5326,-2.4,32.65
10-May-24,13.5187,-2.4,32.65
15-May-24,13.4097,-2.4,32.65
16-May-24,13.4015,-2.4,32.65
17-May-24,13.3976,-2.4,32.65
20-May-24,13.3703,-2.4,32.65
21-May-24,13.3098,-2.4,32.65
22-May-24,13.2767,-2.4,32.65
23-May-24,13.2183,-2.4,32.65
24-May-24,13.2242,-2.4,32.65
27-May-24,13.2432,-2.4,32.65
28-May-24,13.2789,-2.4,32.65
29-May-24,13.3036,-2.4,32.65
30-May-24,13.3021,-2.4,32.65
31-May-24,13.3177,-2.4,32.65
3-Jun-24,13.3109,0,33.04
4-Jun-24,13.3162,0,33.04
6-Jun-24,13.4356,0,33.04
7-Jun-24,13.4309,0,33.04
10-Jun-24,13.3926,0,33.04
11-Jun-24,13.4639,0,33.04
12-Jun-24,13.4986,0,33.04
13-Jun-24,13.4839,0,33.04
14-Jun-24,13.4803,0,33.04
17-Jun-24,13.491,0,33.04
18-Jun-24,13.4865,0,33.04
19-Jun-24,13.4921,0,33.04
20-Jun-24,13.582,0,33.04
21-Jun-24,13.5903,0,33.04
24-Jun-24,13.5812,0,33.04
25-Jun-24,13.597,0,33.04
26-Jun-24,13.601,0,33.04
27-Jun-24,13.6814,0,33.04
28-Jun-24,13.7031,0,33.04
1-Jul-24,13.7026,-0.1,32.21
2-Jul-24,13.6917,-0.1,32.21
3-Jul-24,13.6984,-0.1,32.21
4-Jul-24,13.7618,-0.1,32.21
5-Jul-24,13.6946,-0.1,32.21
17-Jul-24,13.734,-0.1,32.21
18-Jul-24,13.7241,-0.1,32.21
19-Jul-24,13.7164,-0.1,32.21
29-Jul-24,13.7912,-0.1,32.21
30-Jul-24,13.7962,-0.1,32.21
31-Jul-24,13.7859,-0.1,32.21
