Date,Currency,Index_Bid,Index_Ask,Index_Mid,Bid_Rate,Ask_Rate,Mid_Rate
2025-09-30,USD,,,,25.9778,27.31,26.6439
2025-10-02,USD,,,,26.0067,27.3403,26.6735
2025-10-03,USD,,,,25.9895,27.3223,26.6559
2025-10-06,USD,,,,25.984,27.3166,26.6503
2025-10-07,USD,,,,25.9816,27.314,26.6478
2025-10-08,USD,,,,26.0355,27.3707,26.7031
2025-10-09,USD,,,,26.0418,27.3772,26.7095
2025-10-10,USD,,,,26.0424,27.378,26.7102
2025-10-13,USD,,,,26.0036,27.3372,6.6704
2025-10-14,USD,,,,25.9759,27.3079,6.6419
2025-10-15,USD,,,,25.9606,27.292,26.6263
2025-10-16,USD,,,,25.9579,27.2891,26.6235
2025-10-17,USD,,,,25.9726,27.3046,26.6386
2025-10-20,USD,,,,25.9456,27.2762,6.6109
2025-10-21,USD,,,,25.9138,27.2428,6.5783
2025-10-22,USD,,,,25.8589,27.1849,6.5219
2025-10-23,USD,,,,25.851,27.1766,26.5138
2025-10-24,USD,,,,25.8565,27.1825,6.5195
2025-10-27,USD,,,,25.8442,27.1696,26.5069
2025-10-28,USD,,,,25.846,27.1714,26.5087
2025-10-29,USD,,,,25.8076,27.131,26.4693
2025-10-30,USD,,,,25.786,27.1084,26.4472
2025-10-31,USD,,,,25.7268,27.0462,26.3865
